soc_code,sic_code,byear_grp,name,title_matched,element,daily,weekly
11-9141.00,71.4,2008,Renting of personal and household goods n.e.c.,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,71.4,2008,Renting of personal and household goods n.e.c.,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,71.4,2008,Renting of personal and household goods n.e.c.,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,71.4,2008,Renting of personal and household goods n.e.c.,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
11-9141.00,71.4,2008,Renting of personal and household goods n.e.c.,"Property, Real Estate, and Community Association Managers",Deal With External Customers,45,75
11-9141.00,77.21,2009,Renting and leasing of recreational and sports goods,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,77.21,2009,Renting and leasing of recreational and sports goods,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,77.21,2009,Renting and leasing of recreational and sports goods,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,77.21,2009,Renting and leasing of recreational and sports goods,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
11-9141.00,77.21,2009,Renting and leasing of recreational and sports goods,"Property, Real Estate, and Community Association Managers",Deal With External Customers,45,75
11-9141.00,77.29,2009,Renting and leasing of other personal and household goods,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,77.29,2009,Renting and leasing of other personal and household goods,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,77.29,2009,Renting and leasing of other personal and household goods,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,77.29,2009,Renting and leasing of other personal and household goods,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
11-9141.00,77.29,2009,Renting and leasing of other personal and household goods,"Property, Real Estate, and Community Association Managers",Deal With External Customers,45,75
11-9141.00,41.109,2008,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,41.109,2008,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,41.109,2008,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,41.109,2008,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
11-9141.00,41.109,2008,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Deal With External Customers,45,75
11-9141.00,68.209,2008,Other letting of real estate,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,68.209,2008,Other letting of real estate,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,68.209,2008,Other letting of real estate,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,68.209,2008,Other letting of real estate,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
11-9141.00,68.209,2008,Other letting of real estate,"Property, Real Estate, and Community Association Managers",Deal With External Customers,45,75
11-9141.00,68.31,2008,Real estate agencies,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,68.31,2008,Real estate agencies,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,68.31,2008,Real estate agencies,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,68.31,2008,Real estate agencies,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
11-9141.00,68.31,2008,Real estate agencies,"Property, Real Estate, and Community Association Managers",Deal With External Customers,45,75
11-9141.00,68.32,2008,Management of real estate on a fee or contract basis,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,68.32,2008,Management of real estate on a fee or contract basis,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,68.32,2008,Management of real estate on a fee or contract basis,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,68.32,2008,Management of real estate on a fee or contract basis,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
11-9141.00,68.32,2008,Management of real estate on a fee or contract basis,"Property, Real Estate, and Community Association Managers",Deal With External Customers,45,75
11-9141.00,77.21,2008,Renting and leasing of recreational and sports goods,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,77.21,2008,Renting and leasing of recreational and sports goods,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,77.21,2008,Renting and leasing of recreational and sports goods,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,77.21,2008,Renting and leasing of recreational and sports goods,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
11-9141.00,77.21,2008,Renting and leasing of recreational and sports goods,"Property, Real Estate, and Community Association Managers",Deal With External Customers,45,75
11-9141.00,77.29,2008,Renting and leasing of other personal and household goods,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,77.29,2008,Renting and leasing of other personal and household goods,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,77.29,2008,Renting and leasing of other personal and household goods,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,77.29,2008,Renting and leasing of other personal and household goods,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
11-9141.00,77.29,2008,Renting and leasing of other personal and household goods,"Property, Real Estate, and Community Association Managers",Deal With External Customers,45,75
11-9179.01,93.13,2009,Fitness facilities,Fitness and Wellness Coordinators,Public Speaking,11.54,34.62
11-9179.01,93.13,2009,Fitness facilities,Fitness and Wellness Coordinators,Face-to-Face Discussions,88,96
11-9179.01,93.13,2009,Fitness facilities,Fitness and Wellness Coordinators,Contact With Others,60,100
11-9179.01,93.13,2009,Fitness facilities,Fitness and Wellness Coordinators,Work With Work Group or Team,64,92
11-9179.01,93.13,2009,Fitness facilities,Fitness and Wellness Coordinators,Deal With External Customers,30.77,69.23
11-9179.01,93.13,2008,Fitness facilities,Fitness and Wellness Coordinators,Public Speaking,11.54,34.62
11-9179.01,93.13,2008,Fitness facilities,Fitness and Wellness Coordinators,Face-to-Face Discussions,88,96
